"","Nome","Artista","Ano","ID","N_palavras","N_palavras_bin","Dif","Idioma_1","Idioma_2","Idioma_3","Idioma_4"
"535","Amor Ingrato","Silvinho",1963,6337,153,44,109,"pt","portuguese","por","pt"
"536","Papa-Oom-Mow-Mow","Rivingtons",1963,6338,116,50,66,"en","english","eng","en"
"537","Não Diga Nada","Joelma",1963,6339,162,83,79,"pt","portuguese","por","pt"
"538","O Prisioneiro","Jorge Goulart",1963,6340,85,51,34,"pt","portuguese","por","pt"
"539","Serenata da Chuva","Carlos Nobre",1963,6341,74,46,28,"pt","portuguese","por","pt"
"540","Baby Sittin' Boogie","Buzz Clifford",1963,6342,84,69,15,"en","english","sco","en"
"541","Deixa","Cyro Monteiro",1963,6343,253,75,178,"pt","portuguese","por","pt"
"542","Baby Sittin' Boogie","Ralf Bendix",1963,6344,84,69,15,"en","english","sco","en"
"543","Wipe Out","The Surfaris",1963,6345,177,104,73,"pt","portuguese","por","pt"
"544","Samba do Avião","Os Cariocas",1963,6346,107,68,39,"pt","portuguese","por","pt"
"545","Eu Que Amo Somente a Ti","José Ricardo",1963,6347,44,29,15,"pt","portuguese","por","pt"
"546","Caixinha de Segredo","Rômulo Alencar",1963,6348,49,36,13,"pt","portuguese","por","pt"
"547","Franqueza","Dalva de Oliveira",1963,6349,96,57,39,"pt","portuguese","por","pt"
"548","Love Me With All Your Heart","Ray Charles Singers",1963,6350,112,37,75,"en","english","eng","en"
"549","E O Bicho Não Deu","Emilinha Borba",1963,6351,160,71,89,"pt","portuguese","por","pt"
"550","Nos Braços da Saudade","Carlos Nobre",1963,6352,150,104,46,"pt","portuguese","por","pt"
"551","Doce Amargura","Moacyr Franco",1963,6353,73,59,14,"pt","portuguese","por","pt"
"552","Papai Walt Disney","Conjunto Farroupilha",1963,6354,109,79,30,"pt","portuguese","por","pt"
"553","Blue Velvet","Bobby Vinton",1963,6355,79,50,29,"en","scots","eng","en"
"554","Ela é Carioca","Os Cariocas",1963,6356,85,45,40,"pt","portuguese","por","pt"
"555","Pergunte ao Coração","Jorge Goulart",1963,6357,225,63,162,"pt","portuguese","por","pt"
"556","Hey Paula","Paul & Paula",1963,6358,84,46,38,"en","english","eng","en"
"557","O Último a Saber","Dircinha Batista",1963,6359,65,47,18,"pt","portuguese","por","pt"
"558","Sabor de Sal","Ed Wilson",1963,6360,51,42,9,"pt","portuguese","por","pt"
"559","Days Of Wine And Roses","Henry Mancini",1963,6361,69,37,32,"en","english","eng","en"
"560","Resto de Saudade","Carlos Nobre",1963,6362,72,45,27,"pt","portuguese","por","pt"
"561","Our Day Will Come","Ruby & The Romantics",1963,6363,146,37,109,"en","english","eng","en"
"562","Samba em Prelúdio","Vinicius de Moraes & Odete Lara",1963,6364,88,50,38,"pt","portuguese","por","pt"
"563","Foi Assim","Jamelão",1963,6365,95,64,31,"pt","portuguese","por","pt"
"564","Volta Pra Casa","Noite Ilustrada",1963,6366,176,67,109,"pt","portuguese","por","pt"
"565","Saudade Em Cada Adeus","Carlos Nobre",1963,6367,131,63,68,"pt","portuguese","por","pt"
"566","Tem Bobo Pra Tudo","Isaura Garcia",1963,6368,81,49,32,"pt","portuguese","por","pt"
"567","A Lua é Camarada","Angela Maria",1963,6369,33,23,10,"pt","portuguese","por","pt"
"568","Abraça-me","Anísio Silva",1963,6370,150,35,115,"pt","portuguese","por","pt"
"569","Canção do Fim","Moacyr Franco",1963,6371,64,42,22,"pt","portuguese","por","pt"
"570","Olha a Polícia","Nhá Barbina",1963,6372,67,56,11,"pt","portuguese","por","pt"
"571","Perdidamente Te Amarei","Joelma",1963,6373,77,42,35,"pt","portuguese","por","pt"
"572","All Alone Am I","Brenda Lee",1963,6374,113,43,70,"en","english","eng","en"
"573","Ave Maria dos Namorados","Anísio Silva",1963,6375,53,42,11,"pt","portuguese","por","pt"
"574","Bolinha de Sabão","Orlan Divo",1963,6376,49,37,12,"pt","portuguese","por","pt"
"575","It's My Party","Lesley Gore",1963,6377,140,62,78,"en","english","eng","en"
"576","Baby Elephant's Walk","Henry Mancini",1963,6378,92,50,42,"en","english","eng","en"
"577","Big Girls Don't Cry","Four Seasons",1963,6379,264,106,158,"en","english","eng","en"
"578","Gostoso é Sambar","Doris Monteiro",1963,6380,70,21,49,"pt","portuguese","por","pt"
"579","Cuando Calienta El Sol","Antonio Pietro",1963,6381,132,20,112,"es","catalan","spa","es"
"580","Aprendiz de Feiticeiro","Angela Maria",1963,6382,167,78,89,"pt","portuguese","por","pt"
"581","Sabe Deus","Carlos Alberto",1963,6383,63,54,9,"pt","portuguese","por","pt"
"582","Dona Maria Tereza","Juca Chaves",1963,6384,85,57,28,"pt","portuguese","por","pt"
"583","Let's Dance","Chris Montez",1963,6385,146,54,92,"en","scots","eng","en"
"584","Madrugada","Dora Lopez",1963,6386,196,74,122,"pt","portuguese","por","pt"
"585","Samba de Uma Nota Só","Radamés Gnatalli",1963,6387,74,56,18,"pt","portuguese","por","pt"
"586","Só Danço Samba","Elza Soares",1963,6388,64,13,51,"pt","portuguese","por","pt"
"587","Foi Deus","Gilda Valença",1963,6389,141,44,97,"pt","portuguese","por","pt"
"588","Vigésimo Andar","Albert Pavão",1963,6390,205,76,129,"pt","portuguese","por","pt"
"589","The Guns Of Navarone","Joe Reisman",1963,6391,128,47,81,"en","english","eng","en"
"590","Marcha da Condução","José Messias",1963,6392,267,158,109,"pt","portuguese","por","pt"
"591","Al Di La","Emilio Pericoli",1963,6393,68,46,22,"it","italian","ita","it"
"592","Gina","Johnny Mathis",1963,6394,92,40,52,"pt","portuguese","por","pt"
"593","Dancin' Party","Chubby Checker",1963,6395,188,81,107,"en","english","eng","en"
"594","Para Sempre Adorar","Paulo Marques",1963,6396,180,68,112,"pt","portuguese","por","pt"
"595","Metade Homem","Valter Levita",1963,6397,107,71,36,"pt","portuguese","por","pt"
"596","Fascination","Leny Eversong",1963,6398,68,34,34,"en","english","eng","en"
"597","Esta Noite Eu Queria","Silvinho",1963,6399,69,43,26,"pt","portuguese","por","pt"
"598","Boneca de Doce","Paulo Ricardo",1963,63100,88,71,17,"pt","portuguese","por","pt"
"599","Datemi Un Martello","Rita Pavone",1964,6401,121,73,48,"it","italian","ita","it"
"600","I Want To Hold Your Hand","Beatles",1964,6402,131,32,99,"en","english","eng","en"
"601","Rua Augusta","Ronnie Cord",1964,6403,152,69,83,"pt","portuguese","por","pt"
"602","O Ritmo da Chuva","Demetrius",1964,6404,117,54,63,"pt","portuguese","por","pt"
"603","Please Please Me","Beatles",1964,6405,126,43,83,"en","scots","eng","en"
"604","She Loves You","Beatles",1964,6406,202,49,153,"en","scots","eng","en"
"605","Dominique","Giane",1964,6407,267,92,175,"fr","french","fra","fr"
"606","Parei na Contramão","Roberto Carlos",1964,6408,174,82,92,"pt","portuguese","por","pt"
"607","Can't Buy Me Love","Beatles",1964,6409,159,45,114,"en","english","eng","en"
"608","Que Queres Tu de Mim","Altemar Dutra",1964,6410,117,52,65,"pt","portuguese","por","pt"
"609","Doce Amargura","Moacyr Franco",1964,6411,73,59,14,"pt","portuguese","por","pt"
"610","Bigorrilho","Jorge Veiga",1964,6412,37,26,11,"pt","portuguese","por","pt"
"611","Deixa Isso Pra Lá","Jair Rodrigues",1964,6413,144,37,107,"pt","portuguese","por","pt"
"612","Acorrentados","Agnaldo Rayol",1964,6414,115,62,53,"pt","portuguese","por","pt"
"613","Love Me Do","Beatles",1964,6415,65,13,52,"en","middle_frisian","ewe","en"
"614","É Proibido Fumar","Roberto Carlos",1964,6416,146,47,99,"pt","portuguese","por","pt"
"615","Hello, Dolly!","Louis Armstrong",1964,6417,95,53,42,"en","scots","eng","en"
"616","Twist And Shout","Beatles",1964,6418,200,29,171,"en","english","sco","en"
"617","Una Lacrima Sul Viso","Bobby Solo",1964,6419,90,42,48,"it","italian","ita","it"
"618","Love Me With All Your Heart","Ray Charles Singers",1964,6420,112,37,75,"en","english","eng","en"
"619","El Relicário","The Clevers",1964,6421,116,77,39,"es","spanish","spa","es"
"620","Everybody Loves Somebody","Dean Martin",1964,6422,118,53,65,"en","english","eng","en"
"621","Mulher Governanta","Silvinho",1964,6423,146,69,77,"pt","portuguese","por","pt"
"622","Tudo de Mim","Altemar Dutra",1964,6424,57,48,9,"pt","portuguese","por","pt"
"623","Escrivi Me","Rita Pavone",1964,6425,154,108,46,"pt","portuguese","por","pt"
"624","The Girl From Ipanema","Stan Getz & Astrud Gilberto",1964,6426,191,84,107,"pt","english","por","pt"
"625","Do You Want To Know A Secret","Beatles",1964,6427,98,35,63,"en","english","eng","en"
"626","Sabe Deus","Carlos Alberto",1964,6428,63,54,9,"pt","portuguese","por","pt"
"627","Dominique","Souer Sourire",1964,6429,267,92,175,"fr","french","fra","fr"
"628","Pombinha Branca","Silvana",1964,6430,51,35,16,"pt","portuguese","por","pt"
"629","O Divórcio","Oslaim Galvão",1964,6431,149,67,82,"pt","portuguese","por","pt"
"630","Rancho da Praça XI","Dalva de Oliveira",1964,6432,64,45,19,"pt","portuguese","por","pt"
"631","Igual a Ti Não Há Ninguém","Rosemary",1964,6433,99,41,58,"pt","portuguese","por","pt"
"632","A Carta","Waldik Soriano",1964,6434,232,110,122,"pt","portuguese","por","pt"
"633","Beijo Gelado","José Augusto",1964,6435,64,42,22,"pt","portuguese","por","pt"
"634","Sul Cucuzzolo","Rita Pavone",1964,6436,166,36,130,"it","italian","ita","it"
"635","O Menino das Laranjas","Elis Regina",1964,6437,202,60,142,"pt","portuguese","por","pt"
"636","America","Trini Lopez",1964,6438,254,44,210,"en","english","eng","en"
"637","Bicho do Mato","Jorge Ben",1964,6439,99,77,22,"pt","portuguese","por","pt"
"638","Olhando Para o Céu","Trio Esperança",1964,6440,76,50,26,"pt","portuguese","por","pt"
"639","De Joelhos","Carlos Alberto",1964,6441,242,60,182,"pt","portuguese","por","pt"
"640","Louie Louie","The Kingsmen",1964,6442,81,46,35,"en","scots","eng","en"
"641","Cabeleira do Zezé","Jorge Goulart",1964,6443,141,18,123,"pt","portuguese","glg","pt"
"642","Ai de Mim","Golden Boys",1964,6444,179,93,86,"pt","portuguese","por","pt"
"643","Leda","Adilson Ramos",1964,6445,131,56,75,"en","english","eng","en"
"644","Forget Him","Bobby Rydell",1964,6446,120,37,83,"en","english","eng","en"
"645","You Don't Own Me","Lesley Gore",1964,6447,138,44,94,"en","english","eng","en"
"646","If I Had A Hammer","Trini Lopez",1964,6448,139,27,112,"en","english","eng","en"
"647","Queria","Carlos José",1964,6449,74,57,17,"pt","portuguese","por","pt"
"648","La Bamba","Trini Lopez",1964,6450,84,14,70,"es","spanish","spa","es"
"649","Lado a Lado","Carlos Alberto",1964,6451,77,41,36,"pt","portuguese","por","pt"
"650","Canto o Fado","Olivinha Carvalho",1964,6452,120,70,50,"pt","portuguese","por","pt"
"651","Nanã","Wilson Simonal",1964,6453,18,11,7,NA,"portuguese","jav",NA
"652","Diz Que Fui Por Aí","Nara Leão",1964,6454,72,50,22,"pt","portuguese","por","pt"
"653","Andorinha","Hebe Camargo",1964,6455,103,70,33,"pt","portuguese","por","pt"
"654","Meu Bem","Agnaldo Rayol",1964,6456,116,50,66,"pt","portuguese","por","pt"
"655","O Calhambeque","Roberto Carlos",1964,6457,199,139,60,"pt","portuguese","por","pt"
"656","Inútil Paisagem","Tenório Jr.",1964,6458,48,31,17,"pt","portuguese","por","pt"
"657","Paz do Meu Amor","Hebe Camargo",1964,6459,38,28,10,"pt","portuguese","por","pt"
"658","Tristeza de Nós Dois","Claudette Soares",1964,6460,37,32,5,"pt","portuguese","por","pt"
"659","The Hully Gully","Chubby Checker",1964,6461,223,94,129,"en","scots","eng","en"
"660","There! I've Said It Again","Bobby Vinton",1964,6462,84,53,31,"en","english","eng","en"
"661","Deep Purple","Nino Tempo & April Stevens",1964,6463,116,70,46,"en","english","eng","en"
"662","Luz Negra","Nara Leão",1964,6464,39,36,3,"pt","portuguese","por","pt"
"663","Deixa Pra Mim a Culpa","Agnaldo Rayol",1964,6465,67,51,16,"pt","portuguese","por","pt"
"664","Ó, Meu Senhor","Wilson Miranda",1964,6466,166,36,130,"pt","portuguese","por","pt"
"665","Esse Mundo é Meu","Sergio Ricardo",1964,6467,208,85,123,"pt","portuguese","por","pt"
"666","Capela do Amor","Wanderléa",1964,6468,94,38,56,"pt","portuguese","por","pt"
"667","A Perereca da Vizinha","Dercy Gonçalves",1964,6469,264,51,213,"pt","portuguese","por","pt"
"668","Quero Me Casar Contigo","Roberto Carlos",1964,6470,93,34,59,"pt","portuguese","por","pt"
"669","O Sol Nascerá","Nara Leão",1964,6471,45,20,25,"pt","portuguese","por","pt"
"670","Bossa Nova Baby","Elvis Presley",1964,6472,167,75,92,"en","scots","eng","en"
"671","Diz Que Fui Por Aí","Elizeth Cardoso",1964,6473,72,50,22,"pt","portuguese","por","pt"
"672","Serenata da Chuva","Altemar Dutra",1964,6474,74,46,28,"pt","portuguese","por","pt"
"673","Berimbau","Quarteto em Cy",1964,6475,137,41,96,"pt","portuguese","por","pt"
"674","Somente Uma Saudade","José Ricardo",1964,6476,105,90,15,"pt","portuguese","por","pt"
"675","Consolação","Wilson Simonal",1964,6477,40,27,13,"pt","portuguese","por","pt"
"676","Me Apeguei Com Meu Santinho","Wanderléa",1964,6478,11,11,0,"pt","portuguese","por","pt"
"677","O Passo do Elefantinho","Trio Esperança",1964,6479,66,40,26,"pt","portuguese","por","pt"
"678","Telefone","Os Cariocas",1964,6480,92,58,34,"pt","portuguese","por","pt"
"679","Exército do Surf","Wanderléa",1964,6481,43,25,18,"pt","portuguese","por","pt"
"680","O Relógio (El Reloj)","Adilson Ramos",1964,6482,68,50,18,"pt","portuguese","por","pt"
"681","Vou Morrer de Tanto Rir","Silvinho",1964,6483,65,36,29,"pt","portuguese","por","pt"
"682","Um Leão Está Solto nas Ruas","Roberto Carlos",1964,6484,129,64,65,"pt","portuguese","por","pt"
"683","Maria Elena","Los Indios Tabajaras",1964,6485,67,42,25,"pt","portuguese","por","pt"
"684","Canção da Serra","José Ricardo",1964,6486,48,40,8,"pt","portuguese","por","pt"
"685","Ansiedade","Carlos Alberto",1964,6487,97,35,62,"pt","portuguese","por","pt"
"686","Esta Noche Pago Yo","Lucho Gatica",1964,6488,75,47,28,"es","spanish","spa","es"
"687","My Boy Lollipop","Millie Small",1964,6489,111,37,74,"en","middle_frisian","eng","en"
"688","Uma Lágrima no Rosto","Tony Campello",1964,6490,118,29,89,"pt","portuguese","por","pt"
"689","Java","Al Hirt",1964,6491,151,77,74,"pt","portuguese","por","pt"
"690","Se Eu Morresse Amanhã","Waldik Soriano",1964,6492,49,32,17,"pt","portuguese","por","pt"
"691","Abraza-me","Bienvenido Granda",1964,6493,161,60,101,"es","spanish","spa","es"
"692","Juca do Brás","Leila Silva",1964,6494,75,37,38,"pt","portuguese","por","pt"
"693","Sugar Shack","Jimmy Gilmer & The Fireballs",1964,6495,156,85,71,"en","english","eng","en"
"694","If I Had A Hammer","Prini Lorenz",1964,6496,139,27,112,"en","english","eng","en"
"695","Meu Broto Só Pensa em Estudar","Albert Pavão",1964,6497,78,47,31,"pt","portuguese","por","pt"
"696","Mas Que Nada","Jorge Ben",1964,6498,95,32,63,"pt","portuguese","por","pt"
"697","Palavras, Só Palavras","Martha Mendonça",1964,6499,128,34,94,"pt","portuguese","por","pt"
"698","Obsessão","Sergio Odilon",1964,64100,188,108,80,"pt","portuguese","por","pt"
"699","Trem das Onze","Demônios da Garoa",1965,6501,129,44,85,"pt","portuguese","por","pt"
"700","O Calhambeque","Roberto Carlos",1965,6502,199,139,60,"pt","portuguese","por","pt"
"701","Amore Scusami","John Foster",1965,6503,54,33,21,"it","italian","ita","it"
"702","Sentimental Demais","Altemar Dutra",1965,6504,68,40,28,"pt","portuguese","por","pt"
"703","Ma Vie","Alain Barrière",1965,6505,54,23,31,"fr","french","fra","fr"
"704","A Hard Day's Night","Beatles",1965,6506,185,53,132,"en","scots","eng","en"
"705","O Trovador","Altemar Dutra",1965,6507,63,55,8,"pt","portuguese","por","pt"
"706","O Neguinho e a Senhorita","Noite Ilustrada",1965,6508,118,42,76,"pt","portuguese","por","pt"
"707","Shame And Scandal In The Family","Shaw Elliott",1965,6509,179,68,111,"en","english","eng","en"
"708","Arrastão","Elis Regina",1965,6510,81,48,33,"pt","portuguese","por","pt"
"709","The House Of The Rising Sun","The Animals",1965,6511,116,67,49,"en","english","eng","en"
"710","Sabor A Mi","Eydie Gormé & Trio Los Panchos",1965,6512,101,56,45,"es","spanish","spa","es"
"711","Festa do Bolinha","Trio Esperança",1965,6513,70,61,9,"pt","portuguese","por","pt"
"712","Nunca Mais Brigarei Contigo","Roberto Muller",1965,6514,43,36,7,"pt","portuguese","por","pt"
"713","Não Quero Ver Você Triste","Roberto Carlos",1965,6515,144,54,90,"pt","portuguese","por","pt"
"714","I Feel Fine","Beatles",1965,6516,138,35,103,"en","english","eng","en"
"715","Querida","Jerry Adriani",1965,6517,75,53,22,"pt","portuguese","por","pt"
"716","Mamãe Eu Te Darei Algo","Manuela",1965,6518,320,72,248,"en","english","eng","en"
"717","Carcará","Maria Bethânia",1965,6519,155,66,89,"pt","portuguese","por","pt"
"718","Professor Apaixonado","Nilton Cesar",1965,6520,86,57,29,"pt","portuguese","por","pt"
"719","From Russia With Love","Matt Monro",1965,6521,68,48,20,"en","english","eng","en"
"720","Eight Days A Week","Beatles",1965,6522,150,37,113,"en","scots","eng","en"
"721","Se Mi Vuoi Lasciare","Michele",1965,6523,114,33,81,"it","italian","ita","it"
"722","Preste Atenção","Wanderley Cardoso",1965,6524,112,56,56,"pt","portuguese","por","pt"
"723","Perfidia","Trini Lopez",1965,6525,91,57,34,"es","spanish","spa","es"
"724","Pau de Arara","Ary Toledo",1965,6526,135,32,103,"pt","portuguese","por","pt"
"725","Downtown","Petula Clark",1965,6527,258,104,154,"es","spanish","spa","es"
"726","Menina Linda","Renato & Seus Blue Caps",1965,6528,241,83,158,"pt","portuguese","por","pt"
"727","Red Roses For A Blue Lady","Bert Kaempfert",1965,6529,114,44,70,"en","scots","eng","en"
"728","Na Onda do Berimbau","Ed Lincoln",1965,6530,180,22,158,"pt","portuguese","por","pt"
"729","Prelude and The Sound Of Music","Julie Andrews",1965,6531,99,63,36,"en","english","eng","en"
"730","In Ginocchio Da Te","Gianni Morandi",1965,6532,57,29,28,"it","italian","ita","it"
"731","Feche os Olhos","Renato & Seus Blue Caps",1965,6533,37,20,17,"pt","portuguese","por","pt"
"732","Falhaste Coração","Angela Maria",1965,6534,84,69,15,"pt","portuguese","por","pt"
"733","Michael","Trini Lopez",1965,6535,256,12,244,"en","scots","snk","en"
"734","A Casa do Sol Nascente","Agnaldo Timóteo",1965,6536,97,34,63,"pt","portuguese","por","pt"
"735","A Garota do Baile","Roberto Carlos",1965,6537,112,44,68,"pt","portuguese","por","pt"
"736","Joga a Chave","Jorge Goulart",1965,6538,95,33,62,"pt","portuguese","por","pt"
"737","Iracema","Demônios da Garoa",1965,6539,113,63,50,"pt","portuguese","por","pt"
"738","Mr. Tambourine Man","The Byrds",1965,6540,329,166,163,"en","english","eng","en"
"739","O Escândalo","Renato & Seus Blue Caps",1965,6541,109,92,17,"pt","portuguese","por","pt"
"740","Pensando Nela","Golden Boys",1965,6542,67,60,7,"pt","portuguese","por","pt"
"741","Il Mondo","Jimmy Fontana",1965,6543,140,48,92,"it","italian","ita","it"
"742","Charade","Henry Mancini",1965,6544,158,64,94,"en","english","eng","en"
"743","Não Me Esquecerás","Carlos Alberto",1965,6545,62,47,15,"pt","portuguese","por","pt"
"744","My Boy Lollipop","Millie Small",1965,6546,111,37,74,"en","middle_frisian","eng","en"
"745","Help!","The Beatles",1965,6547,169,64,105,"en","scots","eng","en"
"746","Tchin Tchin","Richard Anthony",1965,6548,124,57,67,"fr","french","fra","fr"
"747","Izabelle","Charles Aznavour",1965,6549,120,46,74,"pt","portuguese","por","pt"
"748","A Casa de Irene","Nico Fidenco",1965,6550,175,59,116,"pt","portuguese","por","pt"
"749","Festa de Arromba","Erasmo Carlos",1965,6551,224,120,104,"pt","portuguese","por","pt"
"750","Menino das Laranjas","Elis Regina",1965,6552,202,60,142,"pt","portuguese","por","pt"
"751","Amor Perdido","Carlos Alberto",1965,6553,111,69,42,"pt","portuguese","por","pt"
"752","Meu Bem Lollipop","Wanderléa",1965,6554,63,40,23,"pt","portuguese","por","pt"
"753","Acender as Velas","Nara leão",1965,6555,49,40,9,"pt","portuguese","por","pt"
"754","Lobo Mau","Roberto Carlos",1965,6556,240,29,211,"pt","portuguese","por","pt"
"755","Mulata Yê-Yê-Yê","Emilinha Borba",1965,6557,18,18,0,NA,"portuguese","por",NA
"756","Gatinha Manhosa","Erasmo Carlos",1965,6558,108,45,63,"pt","portuguese","por","pt"
"757","Não é Papo Pra Mim","Roberto Carlos",1965,6559,151,51,100,"pt","portuguese","por","pt"
"758","Parei, Olhei","Roberto Carlos",1965,6560,96,56,40,"pt","portuguese","por","pt"
"759","O Carro do Papai","Ed Wilson",1965,6561,168,38,130,"pt","portuguese","por","pt"
"760","Minha Namorada","Os Cariocas",1965,6562,187,63,124,"pt","portuguese","por","pt"
"761","Das Rosas","Dalva de Oliveira",1965,6563,124,41,83,"pt","portuguese","por","pt"
"762","O Que é Que Eu Faço do Latim","Meire Pavão",1965,6564,366,218,148,"pt","portuguese","por","pt"
"763","Afinal Chegou","Os Vips",1965,6565,40,36,4,"pt","portuguese","por","pt"
"764","Se o Seu Amor Fosse Pra Mim","Trio Melodia",1965,6566,80,40,40,"pt","portuguese","por","pt"
"765","Primavera","Alaíde Costa",1965,6567,502,248,254,"pt","portuguese","por","pt"
"766","Mascarada","Zé Keti",1965,6568,48,36,12,"pt","portuguese","por","pt"
"767","Minha Fama de Mau","Erasmo Carlos",1965,6569,272,42,230,"pt","portuguese","por","pt"
"768","Copacabana é Amor","Fernando Pereira",1965,6570,40,34,6,"pt","catalan","por","pt"
"769","História de Um Homem Mau","Roberto Carlos",1965,6571,146,101,45,"pt","portuguese","por","pt"
"770","This Diamond Ring","Gary Lewis & The Playboys",1965,6572,138,56,82,"en","english","eng","en"
"771","O Princípio e o Fim","Agnaldo Rayol",1965,6573,99,75,24,"pt","portuguese","por","pt"
"772","People","Barbara Streisand",1965,6574,281,63,218,"en","english","eng","en"
"773","A Praia","Agnaldo Rayol",1965,6575,135,60,75,"pt","portuguese","por","pt"
"774","Preste Atenção","Giane",1965,6576,112,56,56,"pt","portuguese","por","pt"
"775","Minhas Madrugadas","Elizeth Cardoso",1965,6577,55,48,7,"pt","portuguese","por","pt"
"776","Que C'est Triste Venice","Charles Aznavour",1965,6578,142,77,65,"fr","french","fra","fr"
"777","Alguém na Multidão","Golden Boys",1965,6579,137,43,94,"pt","portuguese","por","pt"
"778","Gerônimo","Os Incríveis",1965,6580,198,70,128,"en","english","eng","en"
"779","Rock do Mendigo","Moacyr Franco",1965,6581,70,55,15,"pt","portuguese","por","pt"
"780","Zorba, The Greek","Dalida",1965,6582,16,16,0,"en","english","eng","en"
"781","Deixa Isso Pra Lá","Jair Rodrigues",1965,6583,144,37,107,"pt","portuguese","por","pt"
"782","Primavera","Pery Ribeiro",1965,6584,502,248,254,"pt","portuguese","por","pt"
"783","Pedro Pedreiro","Chico Buarque",1965,6585,233,80,153,"pt","portuguese","por","pt"
"784","Opinião","Nara Leão",1965,6586,306,64,242,"pt","portuguese","por","pt"
"785","Quero Que Vá Tudo Pro Inferno","Roberto Carlos",1965,6587,143,50,93,"pt","portuguese","por","pt"
"786","Se Piangi, Se Ridi","Bobby Solo",1965,6588,70,35,35,"it","italian","ita","it"
"787","Mulata Assanhada","Elza Soares",1965,6589,159,45,114,"pt","portuguese","por","pt"
"788","You Turn Me On","Ian Whicomb",1965,6590,97,62,35,"en","english","eng","en"
"789","Primavera","Claudette Soares",1965,6591,502,248,254,"pt","portuguese","por","pt"
"790","Que Será de Ti","Moacyr Franco",1965,6592,105,42,63,"es","spanish","spa","es"
"791","Ma Vie","Lana Bittencourt",1965,6593,54,23,31,"fr","french","fra","fr"
"792","Io Che Non Vivo Senza Te","Pino Donaggio",1965,6594,72,41,31,"it","italian","ita","it"
"793","Ébrio de Amor","Lindomar Castilho",1965,6595,181,95,86,"pt","portuguese","por","pt"
"794","Tchin Tchin","Tony Campello",1965,6596,124,57,67,"fr","french","fra","fr"
"795","Sinfonia da Mata","Orlando Dias",1965,6597,49,42,7,"pt","portuguese","por","pt"
"796","The Wanderer","Dion",1965,6598,203,82,121,"en","english","eng","en"
"797","Samba de Verão","Marcos Valle",1965,6599,169,61,108,"pt","portuguese","por","pt"
"798","Abraça-me Forte","Wanderley Cardoso",1965,65100,74,44,30,"pt","portuguese","por","pt"
"799","Quero Que Vá Tudo Pro Inferno","Roberto Carlos",1966,6601,143,50,93,"pt","portuguese","por","pt"
"800","Yesterday","Beatles",1966,6602,85,45,40,"en","english","eng","en"
"801","A Banda","Nara Leão",1966,6603,174,84,90,"pt","portuguese","por","pt"
"802","Capri C'est Fini","Hervé Villard",1966,6604,227,43,184,"fr","french","fra","fr"
"803","Esqueça","Roberto Carlos",1966,6605,84,27,57,"pt","portuguese","por","pt"
"804","Io Che Non Vivo Senza Te","Pino Donaggio",1966,6606,72,41,31,"it","italian","ita","it"
"805","Michelle","Beatles",1966,6607,119,44,75,"en","english","eng","en"
"806","Meu Bem","Ronnie Von",1966,6608,116,50,66,"pt","portuguese","por","pt"
"807","Disparada","Jair Rodrigues",1966,6609,204,121,83,"pt","portuguese","por","pt"
"808","A Volta","Os Vips",1966,6610,135,52,83,"pt","portuguese","por","pt"
"809","Strangers In The Night","Frank Sinatra",1966,6611,113,58,55,"en","scots","eng","en"
"810","Aline","Christophe",1966,6612,101,50,51,"fr","french","fra","fr"
"811","The More I See You","Chris Montez",1966,6613,57,35,22,"en","english","eng","en"
"812","Coruja","Deny & Dino",1966,6614,167,49,118,"en","english","eng","en"
"813","Um Grande Amor","Jerry Adriani",1966,6615,182,45,137,"pt","portuguese","por","pt"
"814","A Praia","Agnaldo Rayol",1966,6616,135,60,75,"pt","portuguese","por","pt"
"815","Whipped Cream","Herb Alpert & The Tijuana Brass",1966,6617,240,91,149,"en","english","eng","en"
"816","(I Can't Get No) Satisfaction","Rolling Stones",1966,6618,162,62,100,"en","english","sco","en"
"817","Day Tripper","Beatles",1966,6619,110,38,72,"en","scots","eng","en"
"818","Pobre Menina","Leno & Lilian",1966,6620,79,45,34,"pt","portuguese","por","pt"
"819","California Dreamin'","The Mamas & The Papas",1966,6621,147,46,101,"en","english","eng","en"
"820","Lara's Theme From Dr. Zhivago","The Jordans",1966,6622,11,11,0,"pt","portuguese","por","pt"
"821","Não Diga Nada","Joelma",1966,6623,162,83,79,"pt","portuguese","por","pt"
"822","Eu Te Darei Bem Mais","Moacyr Franco",1966,6624,100,36,64,"pt","portuguese","por","pt"
"823","É Papo Firme","Roberto Carlos",1966,6625,110,40,70,"pt","portuguese","por","pt"
"824","Tristeza","Jair Rodrigues",1966,6626,31,25,6,"pt","portuguese","por","pt"
"825","Ternura","Wanderléa",1966,6627,112,47,65,"pt","portuguese","por","pt"
"826","Yesterday","Matt Monro",1966,6628,85,45,40,"en","english","eng","en"
"827","Io Te Darò Di Piú","Ornella Vanoni",1966,6629,83,36,47,"it","italian","ita","it"
"828","Meu Primeiro Amor","Renato & Seus Blue Caps",1966,6630,98,77,21,"pt","portuguese","por","pt"
"829","Guarânia da Saudade","Carlos José",1966,6631,67,46,21,"pt","portuguese","por","pt"
"830","Mamãe Passou Açucar Em Mim","Wilson Simonal",1966,6632,56,40,16,"pt","portuguese","por","pt"
"831","Giramundo","Pery Ribeiro",1966,6633,92,44,48,NA,"portuguese","por",NA
