Nome.x,Artista.x,Ano,ID,Nome.y,Artista.y,Letra,Idioma,topico_hdp
Esse Meu Coração Sem Juízo,Moacyr Franco,1970,7064,Esse Meu Coração Sem Juízo,Moacyr Franco,"Eu não sei por que é que a gente
Gosta tanto de repente
De quem não gosta da gente
Essa vida é engraçada
Pois a gente vive amando
Sempre a pessoa errada
Todas as vezes que eu amo
Rezo tanto pra dar certo
Mas eu sempre me engano
A pessoa que eu amava
Sempre me desiludia
Não era o que eu pensava
Meu coração é mesmo sem juízo
Não sabe que eu preciso
Deixar de gostar tanto assim
Meu coração, às vezes, me entristece
Meu coração parece que não gosta de mim
Eu não sei por que é que a gente
Gosta tanto de repente
De quem não gosta da gente
Essa vida é engraçada
Pois a gente vive amando
Sempre a pessoa errada
Todas as vezes que eu amo
Rezo tanto pra dar certo
Mas eu sempre me engano
A pessoa que eu amava
Sempre me desiludia
Não era o que eu pensava
Meu coração é mesmo sem juízo
Não sabe que eu preciso
Deixar de gostar tanto assim
Meu coração, às vezes, me entristece
Meu coração parece que não gosta de mim",pt,6
Que Bom Seria,Agnaldo Timóteo,1970,7070,Que Bom Seria,Jair Pires,"Que bom seria se Jesus voltasse agora
Minh'alma triste que chora, não lamentaria mais
Que bom seria, sentir de Deus a senção
Subir com meu Mestre Amado para findar em Sião
Que bom seria, que bom seria
Que bom seria se Jesus voltasse agora
Que bom seria, que bom seria
Que bom seria se Jesus voltasse agora
Que bom seria se Jesus voltasse agora
Encerraria a história do sofrimento na cruz
Esqueceria dos sofrimentos daqui
Para sempre moraria com meu Mestre no porvir
Que bom seria, que bom seria
Que bom seria se Jesus voltasse agora
Que bom seria, que bom seria
Que bom seria se Jesus voltasse agora
Que bom seria ver a igreja subir pra viver eternamente com Jesus longe daqui
Minh'alma alegre, certamente cantaria hinos de felicidades por não viver mais aqui
Que bom seria, que bom seria
Que bom seria se Jesus voltasse agora
Que bom seria, que bom seria
Que bom seria se Jesus voltasse agora",pt,1
Verão Vermelho,Elis Regina,1970,7071,Verão Vermelho,Elis Regina,[música não tem letra],pt,1
Ê Baiana,Clara Nunes,1970,7072,Ê Baiana,Clara Nunes,"Ê baiana
Ê ê ê baiana, baianinha
Ê baiana
Ê ê ê baiana
Baiana boa
Gosta do samba
Gosta da roda
E diz que é bamba
Baiana boa
Gosta do samba
Gosta da roda
E diz que é bamba
Olha, toca a viola
Que ela quer sambar
Ela gosta de samba
Ela quer rebolar
Toca a viola
Que ela quer sambar
Ela gosta de samba
Ela quer rebolar
Ê baiana
Ê baiana
Ê ê ê baiana, baianinha
Ê baiana
Ê ê ê baiana",pt,92
Ando Meio Desligado,Os Mutantes,1970,7075,Ando Meio Desligado,Os Mutantes,"Ando meio desligado
Eu nem sinto meus pés no chão
Olho e não vejo nada
Eu só penso se você me quer
Eu nem vejo a hora de lhe dizer
Aquilo tudo que eu decorei
E depois o beijo que eu já sonhei
Você vai sentir, mas, por favor
Não leve a mal
Eu só quero que você me queira
Não leve a mal
Ando meio desligado
Eu nem sinto meus pés no chão
Olho e não vejo nada
Eu só penso se você me quer
Eu não vejo a hora de lhe dizer
Aquilo tudo que eu decorei
E depois do beijo que eu já sonhei
Você vai sentir, mas, por favor
Não leve a mal
Eu só quero que você me queira
Não leve a mal
Eu não vejo a hora de lhe dizer
Aquilo tudo que eu decorei
E depois do beijo que eu já sonhei
Você vai sentir, mas, por favor
Não leve a mal
Eu só quero que você me queira
Não leve a mal
Ando meio desligado
Eu nem sinto meus pés no chão
Olho e não vejo nada
Eu só penso se você me quer
Não leve a mal
Não leve a mal
Ó, meu Brasil",pt,1
Tá Chegando Fevereiro,Os Originais do Samba,1970,7076,Tá Chegando Fevereiro,Os Originais do Samba,"Tá chegando o mês de fevereiro,
Acabou o meu dinheiro,
e já não sei como vou fazer.
Para com ela ir brincar,
sem dinheiro pra gastar,
como vou sambar?!
O Carnaval vem chegando,
eu que vivia esperando
três dias pra me divertir.
Parece que vou terminando,
sorrindo pra não chorar.
Chorei para não sorrir...",pt,8
Assim na Terra Como no Céu,Tim Maia,1970,7081,Assim Na Terra Como No Céu,Michelle Nascimento,"Cansada de andar pelo deserto
Tua luz me fez trilhar o caminho certo
A Tua luz me fez brilhar
A Tua luz me guiará
Por um caminho que andarei em santidade
Tua luz me fez andar pela verdade
A Tua luz me fez brilhar
A Tua luz me guiará
Não mais sozinho, não mais ferido
Nem humilhado, sim honrado
Não mais sozinho, não mais ferido
Nem humilhado, sim honrado
Assim na Terra, como no Céu
Assim na Terra, como no Céu
Assim na Terra, como no Céu
Assim na Terra, como no Céu
Que venha o Teu reino, Tua vontade
Sobre a Terra, como És
Que venha o Teu reino, Tua vontade
Sobre a Terra, como És
Que venha o Teu reino, Tua vontade
Sobre a Terra, como És
Que venha o Teu reino, Tua vontade
Sobre a Terra, como És
Por um caminho que andarei em santidade
Tua luz me fez trilhar pela verdade
A Tua luz me fez brilhar
A Tua luz me guiará na eternidade",pt,7
Eu Também Quero Mocotó,Trio Mocotó,1970,7085,Eu Também Quero Mocotó,Erlon Chaves,"Eu quero mocotó...eu quero mocotó
Eu quero mocotó...eu quero mocotó
Eu quero mocotó...eu quero mocotó
Eu quero mocotó...eu quero mocotó
Eu cheguei e tô chegando
To com fome e sou pobre coitado
Me ajudem por favor
Botem mocotó no meu prato
Eu quero mocotó... mo...co...tó
Eu quero mocotó... mo...co...tó
Eu quero mocotó... mo...co...tó
Eu quero mocotó...eu quero mocotó
Eu quero mocotó...eu quero mocotó
Eu quero mocotó...eu quero mocotó
Eu quero mocotó...eu quero mocotó
Salada de mocotó
Mocotó a milanesa
Sopa de mocotó
Mocotó com abóbora
Eh...eh eu quero mocotó... mo...co...tó
Eu quero mocotó... mo...co...tó
Eu quero mocotó... mo...co...tó
Ahhhhuuuuuu
Mocotó pai mocotó filho
Eu também vou ser da família
Mocotó é abstrato....nãoooo
Mocotó é correlato....nãoooo
Mocotó é lagarto....nãoooo
O que é que mocotó e? É um barato
Eu quero mocotó...eu quero mocotó
Eu quero mocotó...eu quero mocotó
Eu quero mocotó...eu quero mocotó
Eu quero mocotó...eu quero mocotó
Mocotó é realengue
É um barato de alicerce
Põe mocotó no meu prato
Eu quero ficar relex
Mo...co...tó
Eu quero mocotó... mo...co...tó
Eu quero mocotó... mo...co...tó
Eu quero mocotó... mo...co...to
Ahhhhuuuuuu
Eu quero mocotó... mo...co...tó
Eu quero mocotó... mo...co...tó
Eu quero mocotó... mo...co...to
É somente mocotó...é somente mocotó
Eu quero mocotó... mo...co...tó
Eu quero mocotó... mo...co...tó
Eu quero mocotó... mo...co...to
É mo...co...tó...é mocotó
E muito mo...co...tó...é muito mo...co...to
Mocotó sem parar...mocotó sem parar
Mocotó é de amargar...mocotó é de amargar
É um barato mocotó...é um barato mocotó
Ele é melhor que chocolate...ele é melhor que chocolate",pt,1
Canção do Marinheiro (Cisne Branco),Dalva de Oliveira,1970,7090,Canção do Marinheiro (Cisne Branco),Dalva de Oliveira,"Qual cisne branco que em noite de lua
Vai deslizando num lago azul
O meu navio também flutua
Nos verdes mares, de norte a sul
Linda galera que em noite apagada
Vai navegando num mar imenso
Nos traz saudades da terra amada
Da Pátria minha em que tanto penso
Qual linda garça
Que aí vai cortando os ares
Vai navegando sob um belo céu de anil
Minha galera vai cortando os bravos os mares
Os verdes mares
Os mares verdes do Brasil
Quanta alegria nos traz a volta
À nossa Pátria do coração
De justo orgulho nossa alma envolta
Termos cumprido nossa missão",pt,1
Deixa Estar,MPB-4,1970,7091,DEIXA ESTAR (part. Lulu Santos e Pabllo Vittar),Liniker,"Deixa estar
Só o mistério vai te guiar
Seja nos sonhos, pra qualquer lugar
Consolação à Via Láctea
Vem, verão
Que eu tô rezando essa oração
Que é pra fincar e fazer casa
Para viver aqui comigo
Vinte e quatro horas na TV, só passando
Reclamo e nunca aparece você
Que chega pela noite fazendo suar
As paredes da minha casa
Sonho colorido veio me dizer pra eu ficar tranquila
Tudo vai dar bom, bebê
Aumenta o volume, corre pro quintal
Te fiz uma surpresa
Deixa estar
Só o mistério vai te guiar
Seja nos sonhos, pra qualquer lugar
Consolação à Via Láctea
Vem, verão
Que eu tô rezando essa oração
Que é pra fincar e fazer casa
Para viver aqui comigo
Vinte e quatro horas na TV, só passando
Reclamo e nunca aparece você
Que chega pela noite fazendo suar
As paredes da minha casa, oh
Num sonho colorido, veio me dizer pra eu ficar tranquilo
Tudo vai dar bom, bebê
Aumenta o volume, corre pro quintal
Te fiz uma surpresa
Então o tempo parou, começou a chover
Uma porta fechou, outra porta se abriu
Fui correndo e achei, encontrei meu amor
Então o tempo parou, começou a chover
Uma porta fechou, outra porta se abriu
Fui correndo e achei, encontrei meu amor
Então o tempo parou, começou a chover
Uma porta fechou, outra porta se abriu
Fui correndo e achei, encontrei meu amor
Então o tempo parou, começou a chover
Uma porta fechou, outra porta se abriu
Fui correndo e achei, encontrei meu amor
Então parou
Choveu, abriu
Ah, ah, amor (encontrei meu amor), oh, oh
Então (então) o tempo parou (parou), começou a chover (choveu)
Uma porta fechou (abriu), outra porta se abriu (ah, ah)
Fui correndo e achei, encontrei meu amor (amor, oh)
Então (então) o tempo parou (parou), começou a chover (choveu)
Uma porta fechou (abriu), outra porta se abriu (ah, ah)
Fui correndo e achei, encontrei meu amor (amor, oh)
Então (então) o tempo parou (parou), começou a chover (choveu)
Uma porta fechou (abriu), outra porta se abriu (ah, ah)
Fui correndo e achei, encontrei meu amor",pt,1
O Cabeção,Golden Boys,1970,7092,O Cabeção,Golden Boys,"Você viu o Cabeção por aí?
Eu não! Eu não! Eu não!
Você viu o Cabeção por aí?
Eu não!
Eu não, vi não
Você viu o Cabeção por aí?
Eu não! Eu não! Eu não!
Você viu o Cabeção por aí?
Eu não!
Eu não, vi não
Cuca muito cheia não cola
É papo que eu não quero curtir
Vou até a porta da escola
Ver se a mina pode sair
Quero ver que se trumbica
Quero ver quem tem razão
Se é comigo que ela fica
Ou se o quente é o Cabeção
Você viu o Cabeção por aí?
Eu não! Eu não! Eu não!
Você viu o Cabeção por aí?
Eu não!
Eu não, vi não
Cuca muito cheia não cola
É papo que eu não quero curtir
Vou até a porta da escola
Ver se a mina pode sair
Quero ver que se trumbica
Quero ver quem tem razão
Se é comigo que ela fica
Ou se o quente é o Cabeção
Você viu o Cabeção por aí?
Eu não! Eu não! Eu não!
Você viu o Cabeção por aí?
Eu não!
Eu não, vi não
Você viu o Cabeção por aí?
Eu não! Eu não! Eu não!
Você viu o Cabeção por aí?
Eu não!
Eu não, vi não
O que é que a gente faz com ele?
Dá um beijo nele
Mas o que é que a gente faz com ele?
Dá um beijo nele
O que é que a gente faz com ele?
Dá um beijo nele
Mas o que é que a gente faz com ele?
Dá um beijo nele
Você viu o Cabeção por aí?
Eu não! Eu não! Eu não!
Você viu o Cabeção por aí?
Eu não!
Eu não, vi não
Eu não, vi não
Eu não, vi não",pt,1
Não Quero Nem Saber,Manhoso,1970,7095,Não Quero Nem Saber,Manhoso,"Deixe isso pra lá
Vem pra cá venha vê
Agora vou te contá
O que eu não quero sabê
Não quero sabê se papai sabe tudo
E quem cortou a língua do criado-mudo
Não quero sabê se na boca tem um céu
Se a cabeça de repolho usa chapéu
Não quero sabê se abóbora dá pernada
E se a ilha da madeira é envernizada
Não quero sabê se pé de mesa forma bolha
Se o rabo de porco tem saca-rolha
Não quero sabê se baleia tem chafariz
Quem afiou o Machado de Assis
Se a manga da camisa é bourbon
Se pé de vento usa sapatão
Se o molho de chave é apimentado
Se a cortina de ferro tem babado
Não quero sabê quem pisou no pé da pata
E quem foi que envernizou a barata
Não quero sabê quem pôs fogo no inferno
E se no tempo de Adão usava terno
Não quero sabê quem deixou Tatuapé
E se o pé de alface tem chulé
Não quero sabê se saci usa muleta
Se a coruja vive fazendo careta
Não quero sabê se gambá usa perfume
E quem pôs bateria no vagalume
Não quero sabê quem pintou o castelo branco
Se gafanhoto tem motor de arranco
Não quero sabê se tijolo é rapadura
E se a boca da noite tem dentadura
Se a girafa usa colarinho
E quem deixou o reino gordinho
Se a prisão de ventre tem preso encarcerado
Se o João-de-barro é engenheiro formado",pt,1
Rio de Lágrimas (Rio de Piracicaba),Tião Carreiro & Pardinho,1970,7096,Rio de Lágrimas,Tião Carreiro e Pardinho,"O rio de Piracicaba
Vai jogar água pra fora
Quando chegar a água
Dos olhos de alguém que chora
Quando chegar a água
Dos olhos de alguém que chora
Lá no bairro que eu moro
Só existe uma nascente
A nascente dos meus olhos
Já formou água corrente
Pertinho da minha casa
Já formou uma lagoa
Com a lágrima dos meus olhos
Por causa de uma pessoa
O rio de Piracicaba
Vai jogar água pra fora
Quando chegar a água
Dos olhos de alguém que chora
Quando chegar a água
Dos olhos de alguém que chora
Eu quero apanhar uma rosa
Minha mão já não alcança
Eu choro desesperado
Igualzinho a uma criança
Duvido alguém que não chore
Pela dor de uma saudade
Quero ver quem que não chora
Quando ama de verdade
O rio de Piracicaba
Vai jogar água pra fora
Quando chegar a água
Dos olhos de alguém que chora
Quando chegar a água
Dos olhos de alguém que chora
Quando chegar a água
Sos olhos de alguém que chora
Quando chegar a água
Sos olhos de alguém que chora
Quando chegar a água
Dos olhos de alguém que chora",pt,1
Detalhes,Roberto Carlos,1971,7101,Detalhes,Roberto Carlos,"Não adianta nem tentar me esquecer
Durante muito tempo em sua vida
Eu vou viver
Detalhes tão pequenos de nós dois
São coisas muito grandes pra esquecer
E a toda hora vão estar presentes
Você vai ver
Se um outro cabeludo aparecer na sua rua
E isto lhe trouxer saudades minhas
A culpa é sua
O ronco barulhento do seu carro
A velha calça desbotada, ou coisa assim
Imediatamente você vai lembrar de mim
Eu sei que um outro deve estar falando ao seu ouvido
Palavras de amor como eu falei, mas eu duvido
Duvido que ele tenha tanto amor
E até os erros do meu português ruim
E nessa hora você vai lembrar de mim
À noite, envolvida no silêncio
Do seu quarto
Antes de dormir você procura
O meu retrato
Mas da moldura não sou eu quem lhe sorri
Mas você vê o meu sorriso mesmo assim
E tudo isso vai fazer você
Lembrar de mim
Se alguém tocar seu corpo como eu
Não diga nada
Não vá dizer meu nome sem querer
À pessoa errada
Pensando ter amor nesse momento
Desesperada você tenta até o fim
E até nesse momento você
Vai lembrar de mim
Eu sei que esses detalhes vão sumir
Na longa estrada
Do tempo que transforma todo amor
Em quase nada
Mas quase também é mais um detalhe
Um grande amor não vai morrer assim
Por isso, de vez em quando você vai
Vai lembrar de mim
Não adianta nem tentar me esquecer
Durante muito, muito, muito tempo em sua vida
Eu vou viver
Não, não adianta nem tentar
Me esquecer",pt,1
Tarde em Itapoã,"Toquinho, Vinicius & Marília Medalha",1971,7102,Tarde Em Itapoã,Vinicius de Moraes,"Um velho calção de banho
O dia pra vadiar
Um mar que não tem tamanho
E um arco-íris no ar
Depois na praça Caymmi
Sentir preguiça no corpo
E numa esteira de vime
Beber uma água de coco
É bom
Passar uma tarde em Itapuã
Ao sol que arde em Itapuã
Ouvindo o mar de Itapuã
Falar de amor em Itapuã
Enquanto o mar inaugura
Um verde novinho em folha
Argumentar com doçura
Com uma cachaça de rolha
E com o olhar esquecido
No encontro de céu e mar
Bem devagar ir sentindo
A terra toda a rodar
É bom
Passar uma tarde em Itapuã
Ao sol que arde em Itapuã
Ouvindo o mar de Itapuã
Falar de amor em Itapuã
Depois sentir o arrepio
Do vento que a noite traz
E o diz-que-diz-que macio
Que brota dos coqueirais
E nos espaços serenos
Sem ontem nem amanhã
Dormir nos braços morenos
Da lua de Itapuã
É bom
Passar uma tarde em Itapuã
Ao sol que arde em Itapuã
Ouvindo o mar de Itapuã
Falar de amor em Itapuã",pt,1
Você Abusou,Antonio Carlos & Jocafi,1971,7104,Você Abusou,Antonio Carlos & Jocafi,"Você abusou
Tirou partido de mim, abusou
Você abusou
Tirou partido de mim, abusou
Tirou partido de mim, abusou
Tirou partido de mim, abusou
Mas não faz mal
É tão normal ter desamor
É tão cafona é sofredor
Que eu já nem sei
Se é meninice ou cafonice o meu amor
Se o quadradismo dos meus versos
Vai de encontro aos intelectos
Que não usam o coração como expressão
Você abusou
Tirou partido de mim, abusou
Tirou partido de mim, abusou
Tirou partido de mim, abusou
E me perdoe se eu insisto nesse tema
Mas não sei fazer poema ou canção
Que fale de outra coisa que não seja o amor
Se o quadradismo dos meus versos
Vai de encontro aos intelectos
Que não usam o coração como expressão
Você abusou
Tirou partido de mim, abusou
Você abusou
Tirou partido de mim, abusou
Tirou partido de mim, abusou
Tirou partido de mim, abusou",pt,1
Debaixo dos Caracóis dos Seus Cabelos,Roberto Carlos,1971,7107,Debaixo Dos Caracóis Dos Seus Cabelos,Roberto Carlos,"Um dia a areia branca
Seus pés irão tocar
E vai molhar seus cabelos
A água azul do mar
Janelas e portas vão se abrir
Pra ver você chegar
E ao se sentir em casa
Sorrindo vai chorar
Debaixo dos caracóis dos seus cabelos
Uma história pra contar de um mundo tão distante
Debaixo dos caracóis dos seus cabelos
Um soluço e a vontade de ficar mais um instante
As luzes e o colorido
Que você vê agora
Nas ruas por onde anda
Na casa onde mora
Você olha tudo e nada
Lhe faz ficar contente
Você só deseja agora
Voltar pra sua gente
Debaixo dos caracóis dos seus cabelos
Uma história pra contar de um mundo tão distante
Debaixo dos caracóis dos seus cabelos
Um soluço e a vontade de ficar mais um instante
Você anda pela tarde
E o seu olhar tristonho
Deixa sangrar no peito
Uma saudade, um sonho
Um dia vou ver você
Chegando num sorriso
Pisando a areia branca
Que é seu paraíso
Debaixo dos caracóis dos seus cabelos
Uma história pra contar de um mundo tão distante
Debaixo dos caracóis dos seus cabelos
Um soluço e a vontade de ficar mais um instante",pt,1
Menina da Ladeira,João Só,1971,7112,Menina da Ladeira,João Só,"Menina que mora na ladeira
E desce a ladeira sem parar (assa, passa passa)
Debaixo do pé da laranjeira
Se senta pra poder descansar
Menina que mora na ladeira
E desce a ladeira sem parar (assa, passa passa)
Debaixo do pé da laranjeira
Se senta pra poder descansar
Silêncio profundo a menina dormiu
Alguém que esperava tão logo partiu, partiu
Partiu para sempre para o infinito
Um grito ouviu
Chorando levanta a menina
Correndo ligeiro sem parar
Debaixo do pé da laranjeira
Há sempre alguém a esperar
Violeiro tocando, estrela a brilhar
Violeiro em prece, em prece ao luar, luar
Tal noite vazia espere a menina
Tão linda não, não vá
Chorando levanta a menina
Correndo ligeiro sem parar (assa, passa passa)
Debaixo do pé da laranjeira
Há sempre alguém a esperar
Há sempre alguém a esperar
Há sempre alguém a esperar
Há sempre alguém a esperar",pt,3
Como Dois e Dois,Gal Costa,1971,7113,Como Dois e Dois,Roberto Carlos,"Quando você
Me ouvir cantar
Venha não creia
Eu não corro perigo
Digo, não digo, não ligo
Deixo no ar
Eu sigo apenas
Porque eu gosto de cantar
Tudo vai mal, tudo
Tudo é igual
Quando eu canto
E sou mudo
Mas eu não minto
Não minto
Estou longe e perto
Sinto alegrias
Tristezas e brinco
Meu amor!
Tudo em volta está deserto
Tudo certo
Tudo certo como
Dois e dois são cinco
Quando você
Me ouvir chorar
Tente não cante
Não conte comigo
Falo, não calo, não falo
Deixo sangrar
Algumas lágrimas bastam
Prá consolar
Tudo vai mal
Tudo, tudo, tudo, tudo
Tudo mudou
Não me iludo e contudo
A mesma porta sem trinco
Mesmo teto, mesmo teto
E a mesma Lua a furar
Nosso zinco
Meu amor!
Tudo em volta está deserto
Tudo certo
Tudo certo como
Dois e dois são cinco
Meu amor! Meu amor! Meu amor!
Tudo em volta está deserto
Tudo certo
Tudo certo como
Dois e dois são cinco",pt,1
Cotidiano,Chico Buarque,1971,7116,Cotidiano,Chico Buarque,"Todo dia ela faz tudo sempre igual
Me sacode às seis horas da manhã
Me sorri um sorriso pontual
E me beija com a boca de hortelã
Todo dia ela diz que é pra eu me cuidar
E essas coisas que diz toda mulher
Diz que está me esperando pro jantar
E me beija com a boca de café
Todo dia eu só penso em poder parar
Meio-dia eu só penso em dizer não
Depois penso na vida pra levar
E me calo com a boca de feijão
Seis da tarde como era de se esperar
Ela pega e me espera no portão
Diz que está muito louca pra beijar
E me beija com a boca de paixão
Toda noite ela diz pra eu não me afastar
Meia-noite ela jura eterno amor
E me aperta pra eu quase sufocar
E me morde com a boca de pavor
Todo dia ela faz tudo sempre igual
Me sacode às seis horas da manhã
Me sorri um sorriso pontual
E me beija com a boca de hortelã
Todo dia ela diz que é pra eu me cuidar
E essas coisas que diz toda mulher
Diz que está me esperando pro jantar
E me beija com a boca de café
Todo dia eu só penso em poder parar
Meio-dia eu só penso em dizer não
Depois penso na vida pra levar
E me calo com a boca de feijão
Seis da tarde como era de se esperar
Ela pega e me espera no portão
Diz que está muito louca pra beijar
E me beija com a boca de paixão
Toda noite ela diz pra eu não me afastar
Meia-noite ela jura eterno amor
E me aperta pra eu quase sufocar
E me morde com a boca de pavor
Todo dia ela faz tudo sempre igual
Me sacode às seis horas da manhã
Me sorri um sorriso pontual
E me beija com a boca de hortelã",pt,1
A Tonga da Mironga do Kabuletê,"Toquinho, Vinicius & Monsueto",1971,7119,A Tonga da Mironga do Kabuletê,Vinicius de Moraes,"Eu caio de bossa
Eu sou quem eu sou
Eu saio da fossa
Xingando em nagô
Você que ouve e não fala
Você que olha e não vê
Eu vou lhe dar uma pala
Você vai ter que aprender
A tonga da mironga do kabuletê
A tonga da mironga do kabuletê
A tonga da mironga do kabuletê
Eu caio de bossa
Eu sou quem eu sou
Eu saio da fossa
Xingando em nagô
Você que lê e não sabe
Você que reza e não crê
Você que entra e não cabe
Você vai ter que viver
Na tonga da mironga do kabuletê
Na tonga da mironga do kabuletê
Na tonga da mironga do kabuletê
Você que fuma e não traga
E que não paga pra ver
Vou lhe rogar uma praga
Eu vou é mandar você
Pra tonga da mironga do kabuletê
Pra tonga da mironga do kabuletê
Pra tonga da mironga do kabuletê",pt,1
Você,Tim Maia,1971,7121,Você,Tim Maia,"De repente a dor
De esperar terminou
E o amor veio enfim
Eu que sempre sonhei
Mas não acreditei
Muito em mim
Vi o tempo passar
O inverno chegar
Outra vez
Mas desta vez
Todo pranto sumiu
Um encanto surgiu
Meu amor
Você
É mais do que sei
É mais que pensei
É mais que esperava
Baby
Você
É algo assim
É tudo pra mim
É como eu sonhava
Baby
Sou feliz agora
Não, não vá embora
Não
Não, não, não, não não
Não, não, não
Você
É mais do que sei
É mais que pensei
É mais que esperava
Baby
Você
É algo assim
É tudo pra mim
É como eu sonhava
Baby
Sou feliz agora
Não não vá embora
Não
Não não não não não
Não não não
Não não vá embora
Não não vá embora
Não não vá embora
Não não vá embora
Vou morrer de saudade
Vou morrer de saudade
Vou morrer de saudade
Não vá embora
Não vá embora
Não vá
Não vá
Vou morrer de saudade
Vou morrer de saudade
Não vá embora
Não vá
Não vá
Vou morrer de saudade
Vou morrer de saudade",pt,107
Festa Para Um Rei Negro,Jair Rodrigues,1971,7126,Festa Para Um Rei Negro,Jair Rodrigues,"Nos anais da nossa história
Vamos encontrar
Personagem de outrora
Que iremos recordar.
Sua vida, sua glória,
Seu passado imortal
Que beleza
A nobreza do tempo colonial.
Ô-lê-lê, ô-lá-lá,
Pega no ganzê,
Pega no ganzá.
Hoje tema festa na aldeia,
Quem quiser pode chegar,
Tem reisado a noite inteira
E fogueira pra queimar.
Nosso rei veio de longe
Pra poder nos visitar,
Que beleza
A nobreza que visita o gongá.
Ô-lê-lê, ô-lá-lá,
Pega no ganzê,
Pega no ganzá.
Senhora dona-de-casa,
Traz seu filho pra cantar
Para o rei que vem de longe
Pra poder nos visitar.
Essa noite ninguém chora,
E ninguém pode chorar
Que beleza
A nobreza que visita o gongá.
Ô-lê-lê, ô-lá-lá,
Pega no ganzê,
Pega no ganzá",pt,1
Amada Amante,Roberto Carlos,1971,7130,Amada Amante,Roberto Carlos,"Esse amor demais antigo
Amor demais amigo
Que de tanto amor viveu
Que manteve acesa a chama
Da verdade de quem ama
Antes e depois do amor
E você amada amante
Faz da vida um instante
Ser demais para nós dois
Esse amor sem preconceito
Sem saber o que é direito
Faz a suas próprias leis
Que flutua no meu leito
Que explode no meu peito
E supera o que já fez
Neste mundo desamante
Só você amada amante
Faz o mundo de nós dois
Amada amante
E você amada amante
Faz da vida um instante
Ser demais para nós dois
Esse amor sem preconceito
Sem saber o que é direito
Faz a suas próprias leis
Que flutua no meu leito
Que explode no meu peito
E supera o que já fez
Neste mundo desamante
Só você amada amante
Faz o mundo de nós dois
Amada amante",pt,1
O Cafona,Marcos Valle,1971,7131,O Cafona,Marcos Valle,"Eu, eu, eu, eu, eu, eu, eu, eu
Eu quero, eu quero, Eu quero, eu quero
Eu quero ver, eu quero ver
Eu quero
Eu quero ver, eu quero ver
Eu quero
Eu quero ver, eu quero ver
O teu retrato, teu reinado, teu pecado
Eu quero ver
Eu, eu, eu, eu, eu, eu, eu, eu
Eu quero, eu quero, Eu quero, eu quero
Eu quero ver, eu quero ver
Eu quero
Eu quero ver, eu quero ver
Eu quero
Eu quero ver, eu quero ver
O teu casaco, teu cigarro e o teu carro
Eu quero ver
Uau! Um cara maneiro
Ganhando dinheiro
Entrou no horror
Uau! Mudou sua gente
Da mãe ao gerente
Subiu de valor",pt,1
Não Quero Dinheiro (Só Quero Amar),Tim Maia,1971,7133,Não Quero Dinheiro (Só Quero Amar),Tim Maia,"Vou pedir pra você voltar
Vou pedir pra você ficar
Eu te amo
Eu te quero bem
Vou pedir pra você gostar
Vou pedir pra você me amar
Eu te amo, eu te adoro
Meu amor
A semana inteira
Fiquei esperando
Pra te ver sorrindo
Pra te ver cantando
Quando a gente ama
Não pensa em dinheiro
Só se quer amar, se quer amar, se quer amar
De jeito maneira
Não quero dinheiro
Quero amor sincero
Isto é que eu espero
Grito ao mundo inteiro
Não quero dinheiro
Eu só quero amar
Te espero para ver se você vem
Não te troco nesta vida por ninguém
Porque eu te amo
Eu te quero bem
Acontece que, na vida, a gente tem
Que ser feliz por ser amado por alguém
Porque eu te amo, eu te adoro
Meu amor
A semana inteira
Fiquei esperando
Pra te ver sorrindo
Pra te ver cantando
Quando a gente ama
Não pensa em dinheiro
Só se quer amar, se quer amar, se quer amar
De jeito maneira
Não quero dinheiro
Quero amor sincero
Isto é que eu espero
Grito ao mundo inteiro
Não quero dinheiro
Eu só quero amar (só quero amar)
A semana inteira
Fiquei esperando
Pra te ver sorrindo
Pra te ver cantando
Quando a gente ama
Não pensa em dinheiro
Só se quer amar, se quer amar, se quer amar
De jeito maneira
Não quero dinheiro
Quero amor sincero
Isto é que eu espero
Grito ao mundo inteiro
Não quero dinheiro
Eu só quero amar (amar, yeah, yeah, yeah, yeah)
A semana inteira
Fiquei esperando
Pra te ver sorrindo
Pra te ver cantando
Quando a gente ama
Não pensa em dinheiro
Só se quer amar, se quer amar, se quer amar",pt,1
Casa no Campo,Elis Regina,1971,7138,Casa No Campo,Elis Regina,"Eu quero uma casa no campo
Onde eu possa compor muitos rocks rurais
E tenha somente a certeza
Dos amigos do peito e nada mais
Eu quero uma casa no campo
Onde eu possa ficar no tamanho da paz
E tenha somente a certeza
Dos limites do corpo e nada mais
Eu quero carneiros e cabras
Pastando solenes no meu jardim
Eu quero o silêncio das línguas cansadas
Eu quero a esperança de óculos
E meu filho de cuca legal
Eu quero plantar e colher com a mão a pimenta e o sal
Eu quero uma casa no campo
Do tamanho ideal, pau a pique e sapé
Onde eu possa plantar meus amigos
Meus discos e livros e nada mais
Onde eu possa plantar meus amigos
Meus discos, meus livros e nada mais
Onde eu possa plantar meus amigos
Meus discos e livros e nada mais",pt,3
